documentId,fileName,filePath,sheetName,formatType,importedAt,parserVersion,rawMetadata
doc:1f502a1da30503eb8a0f6ab6,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,"변경부품 list_Good1, BK",auto_bom_excel,2026-05-28T03:19:17.752812+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:c6269331f03c8f3d6c2629cf,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,"변경부품 list_Good2, BK",auto_bom_excel,2026-05-28T03:19:17.766859+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:e41e4cbdd16c2a893f0c77ec,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,"변경부품 list_Good1, STS",auto_bom_excel,2026-05-28T03:19:17.780420+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:daf9230f051534655cf42f05,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,"변경부품 list_Good2, STS",auto_bom_excel,2026-05-28T03:19:17.786410+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:06e3218ef92965dcec552a67,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,변경부품 list_Good,auto_bom_excel,2026-05-28T03:19:18.431921+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:49d9310e878b0bcb44084c28,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,변경부품 list_Better,auto_bom_excel,2026-05-28T03:19:18.438923+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:157ace3fae4cbba43ff71606,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx,변경부품 list_Best,auto_bom_excel,2026-05-28T03:19:18.445925+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:58fd02248c553d7d8c0ad57f,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,변경부품 list_Best1,auto_bom_excel,2026-05-28T03:19:40.688224+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:1462ef4bb4192841cf3010df,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,변경부품 list_Better1,auto_bom_excel,2026-05-28T03:19:40.693224+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:9dc66927393bb527c4883500,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,변경부품 list_Best,auto_bom_excel,2026-05-28T03:19:40.698196+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:a7848d38a442935dfec4337b,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,변경부품 list_Better,auto_bom_excel,2026-05-28T03:19:40.704225+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:10f0e03a7e8006a7f0fdb589,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WSED7665B.AK1QEUR,auto_bom_excel,2026-05-28T03:19:40.709195+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:346ad1bf8ecbc57abf14424b,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WSED7664S.AS1QEUR,auto_bom_excel,2026-05-28T03:19:40.712231+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:d2c2a94ce0b823d7886f5f43,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WS9D7651WS.AS1QEUR,auto_bom_excel,2026-05-28T03:19:40.715193+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:946765af6a6225b5738a90fb,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WS9D7651B.AK1QEUR,auto_bom_excel,2026-05-28T03:19:40.718224+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:7c1f59a62213baa4ff3b8e73,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WS9D7673CB.AK1QEUR,auto_bom_excel,2026-05-28T03:19:40.721224+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:48cff22d3517e75256a05fdb,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm,WS9D7672CS.AS1QEUR,auto_bom_excel,2026-05-28T03:19:40.724195+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
